"activity" "subject" "subject.1" "activity.1" "TimeDomain_BodyAccelerometer-mean-X" "TimeDomain_BodyAccelerometer-mean-Y" "TimeDomain_BodyAccelerometer-mean-Z" "TimeDomain_BodyAccelerometer_StandardDeviation_X" "TimeDomain_BodyAccelerometer-correlation-X,Z" "TimeDomain_BodyAccelerometer-correlation-Y,Z" "TimeDomain_GravityAccelerometer-mean-X" "TimeDomain_GravityAccelerometer-mean-Y" "TimeDomain_GravityAccelerometer-mean-Z" "TimeDomain_GravityAccelerometer_StandardDeviation_X" "TimeDomain_GravityAccelerometer-correlation-X,Z" "TimeDomain_GravityAccelerometer-correlation-Y,Z" "TimeDomain_BodyAccelerometerJerk-mean-X" "TimeDomain_BodyAccelerometerJerk-mean-Y" "TimeDomain_BodyAccelerometerJerk-mean-Z" "TimeDomain_BodyAccelerometerJerk_StandardDeviation_X" "TimeDomain_BodyAccelerometerJerk-correlation-X,Z" "TimeDomain_BodyAccelerometerJerk-correlation-Y,Z" "TimeDomain_BodyGyroscope-mean-X" "TimeDomain_BodyGyroscope-mean-Y" "TimeDomain_BodyGyroscope-mean-Z" "TimeDomain_BodyGyroscope_StandardDeviation_X" "TimeDomain_BodyGyroscope-correlation-X,Z" "TimeDomain_BodyGyroscope-correlation-Y,Z" "TimeDomain_BodyGyroscopeJerk-mean-X" "TimeDomain_BodyGyroscopeJerk-mean-Y" "TimeDomain_BodyGyroscopeJerk-mean-Z" "TimeDomain_BodyGyroscopeJerk_StandardDeviation_X" "TimeDomain_BodyGyroscopeJerk-correlation-X,Z" "TimeDomain_BodyGyroscopeJerk-correlation-Y,Z" "TimeDomain_BodyAccelerometerMagnitude-arCoeff3" "TimeDomain_BodyAccelerometerMagnitude-arCoeff4" "TimeDomain_GravityAccelerometerMagnitude-arCoeff3" "TimeDomain_GravityAccelerometerMagnitude-arCoeff4" "TimeDomain_BodyAccelerometerJerkMagnitude-arCoeff3" "TimeDomain_BodyAccelerometerJerkMagnitude-arCoeff4" "TimeDomain_BodyGyroscopeMagnitude-arCoeff3" "TimeDomain_BodyGyroscopeMagnitude-arCoeff4" "TimeDomain_BodyGyroscopeJerkMagnitude-arCoeff3" "TimeDomain_BodyGyroscopeJerkMagnitude-arCoeff4" "FrequencyDomain_BodyAccelerometer-mean-X" "FrequencyDomain_BodyAccelerometer-mean-Y" "FrequencyDomain_BodyAccelerometer-mean-Z" "FrequencyDomain_BodyAccelerometer_StandardDeviation_X" "FrequencyDomain_BodyAccelerometer-maxInds-Y" "FrequencyDomain_BodyAccelerometer-maxInds-Z" "FrequencyDomain_BodyAccelerometer-meanFreq-X" "FrequencyDomain_BodyAccelerometer-bandsEnergy-1,24" "FrequencyDomain_BodyAccelerometer-bandsEnergy-25,48" "FrequencyDomain_BodyAccelerometerJerk-mean-X" "FrequencyDomain_BodyAccelerometerJerk-mean-Y" "FrequencyDomain_BodyAccelerometerJerk-mean-Z" "FrequencyDomain_BodyAccelerometerJerk_StandardDeviation_X" "FrequencyDomain_BodyAccelerometerJerk-maxInds-Y" "FrequencyDomain_BodyAccelerometerJerk-maxInds-Z" "FrequencyDomain_BodyAccelerometerJerk-meanFreq-X" "FrequencyDomain_BodyAccelerometerJerk-bandsEnergy-1,24" "FrequencyDomain_BodyAccelerometerJerk-bandsEnergy-25,48" "FrequencyDomain_BodyGyroscope-mean-X" "FrequencyDomain_BodyGyroscope-mean-Y" "FrequencyDomain_BodyGyroscope-mean-Z" "FrequencyDomain_BodyGyroscope_StandardDeviation_X" "FrequencyDomain_BodyGyroscope-maxInds-Y" "FrequencyDomain_BodyGyroscope-maxInds-Z" "FrequencyDomain_BodyGyroscope-meanFreq-X" "FrequencyDomain_BodyGyroscope-bandsEnergy-1,24" "FrequencyDomain_BodyGyroscope-bandsEnergy-25,48" "FrequencyDomain_BodyAccelerometerMagnitude-entropy" "FrequencyDomain_BodyAccelerometerMagnitude-skewness" "FrequencyDomain_BodyAccelerometerMagnitude-kurtosis" "FrequencyDomain_BodyBodyAccelerometerJerkMagnitude-entropy" "FrequencyDomain_BodyBodyAccelerometerJerkMagnitude-skewness" "FrequencyDomain_BodyBodyAccelerometerJerkMagnitude-kurtosis" "FrequencyDomain_BodyBodyGyroscopeMagnitude-entropy" "FrequencyDomain_BodyBodyGyroscopeMagnitude-skewness" "FrequencyDomain_BodyBodyGyroscopeMagnitude-kurtosis" "FrequencyDomain_BodyBodyGyroscopeJerkMagnitude-entropy"
"LAYING" 1 1 6 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.0093252039692 -0.023365945138 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.07809749428 -0.20911768088 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 0.146174602854 -0.022012200614 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 0.252542752996 0.04403706094 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.038780932678 -0.094974300494 0.03519635202 -0.02424774582 0.03519635202 -0.02424774582 -0.111611025988 -0.0789909273 -0.009417440526 0.086408548754 -0.039707980292 -0.111077069856 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8173333332 -0.85384615334 -0.158792670508 -0.9415331212 -0.9964246012 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.2592 -0.3112 0.132419092398 -0.9922768486 -0.99717988 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.90193548364 -0.969655172 -0.003546795856 -0.9864204228 -0.9979328882 -0.64360690412 -0.2662462532 -0.508329046806 -0.8270531004 -0.389207745822 -0.6737157919 -0.51574179922 -0.0843388238 -0.391530370084 -0.7209708054
"SITTING" 1 1 4 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.977229008297872 -0.201194422908511 0.118261863640426 0.831509933404255 0.204411592680851 0.332043702765957 -0.968457145744681 -0.497453950340426 0.301419345319149 0.0774825199574468 -0.000619102785106384 -0.00336779235021277 -0.986430711276596 0.159929065085106 0.0165644228659574 -0.045350056512766 -0.0919241549361702 0.0629313811914894 -0.977211283191489 0.152511136276596 -0.233370428585106 -0.0936793807234043 -0.0402118124255319 -0.046702627 -0.99173159212766 0.11770854623617 0.00284798482340426 0.153241019 -0.17159434653617 0.153241019 -0.17159434653617 -0.030831794193617 -0.0603137314042553 0.166649813768085 -0.112973317920638 -0.00118220895957447 -0.00177420970212766 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.976412313191489 -0.971631205744681 -0.898527004255319 -0.0495135975489362 -0.987879390851064 -0.999175948085106 -0.986597022553191 -0.981579467021277 -0.986053092340425 -0.987492994468085 -0.243404255319149 -0.221276595744681 0.256610823568085 -0.999344061914894 -0.999747370212766 -0.976161464042553 -0.975838585319149 -0.951315544468085 -0.977904227021277 -0.914893616595745 -0.991195891276596 0.189153021260851 -0.992958364042553 -0.999588120638298 -0.836380754702128 -0.373911049468085 -0.608126705914894 -0.959589706170213 -0.480942150808511 -0.750599066382979 -0.708725102765957 -0.00775797617659574 -0.284454150412766 -0.936606090212766
"STANDING" 1 1 5 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.00543277440754717 0.288310475754717 0.942952000377358 -0.272983832264151 0.0134905823226415 -0.99376298509434 0.13784962990566 0.46985826 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.994604542264151 0.156032601584906 0.0744326620490566 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.987191946603774 -0.00512713848867925 -0.459897160490566 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.992945106981132 -0.0374820999679245 -0.228165476283019 0.240349537995094 -0.248142022347925 0.240349537995094 -0.248142022347925 -0.0549539895716981 -0.128163099171698 0.163825722239623 -0.0367286360754717 0.00219194961320755 -0.285777842592453 -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.909433962075472 -0.882438316226415 0.0865153619088679 -0.999093109056604 -0.99981734245283 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.995073759245283 -0.32 -0.120754716981132 0.314182940150943 -0.999832889056604 -0.99984008 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.987497128679245 -0.885575167169811 -0.880286271849057 -0.120293020603774 -0.999455610566038 -0.999895938301887 -0.915000873207547 -0.47394336890566 -0.713903327169811 -0.996658396226415 -0.568218011226415 -0.832748299811321 -0.768195483962264 -0.201169444064151 -0.514425437716981 -0.956721137924528
"WALKING" 1 1 1 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 -0.191228477152632 0.380201211578947 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.0400833257557895 0.281260329237895 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.113615602435789 -0.362106180705263 0.490554924315789 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.473535485894737 -0.0630329306810526 0.107702366137895 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.207421854757895 -0.334593851089474 -0.0715513643377895 0.0885682061405263 0.0817513038861053 0.0885682061405263 0.0817513038861053 -0.224934141304316 0.204177664192316 0.165740730368421 -0.18978924212 -0.116305623129053 -0.187471542774737 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 -0.637894735410526 -0.91983805368421 -0.207548374494737 -0.724782321052632 -0.917626535263158 -0.170546964549579 -0.0352255241130632 -0.468999224631579 -0.133586606326316 -0.458526315789474 -0.247157894736842 -0.209261973376842 -0.814140595578947 -0.922591224526316 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.516691938736842 -0.77928692768421 -0.634119783568421 0.0147844986621053 -0.78983286 -0.919419408 0.544165924947368 -0.549076696421053 -0.835079617894737 0.478205569578947 -0.104419399496947 -0.47802531782 0.682766821578947 -0.246856514532632 -0.540829011921053 0.573827934105263
"WALKING_DOWNSTAIRS" 1 1 3 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.0300353383483878 -0.225544974216327 0.0756845059489796 0.931874418979592 -0.266610338979592 -0.0621199585938775 -0.950559811632653 -0.297445343530612 0.10130462455102 0.0541553164897959 0.0296504490408163 -0.0109719730183673 -0.012283860544898 -0.357838717367347 0.116034018020408 -0.0350781902989796 -0.0909371290204082 0.0900850142030612 -0.458030542938775 -0.191032660469388 -0.280042328004082 -0.0739592036271429 -0.0439902783367347 -0.0270461061061224 -0.487027342244898 -0.24153299954898 -0.251421070963265 0.13907453125102 -0.153300444921224 0.13907453125102 -0.153300444921224 -0.0168914737530612 0.110971354244898 0.423461960877551 -0.295883797938776 -0.0579983788428571 0.0572668301693878 0.0382291831510204 0.00154990783591837 -0.225574471693878 0.0243308391387755 -0.681632651979592 -0.924646779387755 -0.307395198687755 -0.718418354489796 -0.810377550816327 -0.0276638676122449 -0.12866715764898 -0.288334735714286 -0.0863278966402041 -0.402448979591837 -0.16734693877551 -0.253164344918367 -0.727280115306122 -0.821647169183673 -0.352449631363265 -0.0557022524693878 -0.0318694271979592 -0.495422486102041 -0.856484528979592 -0.752287122244898 -0.100453729040816 -0.621849786122449 -0.88399402755102 0.652818079591837 -0.45682867022449 -0.739122186938776 0.52455081244898 -0.196565005959184 -0.539384710693878 0.680233602653061 -0.493999491571429 -0.771541462040816 0.586977217142857
"WALKING_UPSTAIRS" 1 1 2 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.35470802509434 -0.17700807654717 0.161628109571698 0.89335109754717 -0.362153364339623 -0.075402939754717 -0.956367027924528 -0.37282872745283 -0.178003749358491 0.101372729922642 0.0194863076188679 -0.0455625449113208 -0.446843887735849 -0.169377561701887 0.312909699716981 0.050549379754717 -0.166170015088679 0.0583595463981132 -0.544871104528302 -0.364162675924528 0.00374637040566038 -0.122232768011321 -0.0421485884509434 -0.0407125527654717 -0.614786508490566 -0.301908590471698 -0.240762604709434 -0.137359747679245 0.0963139010660377 -0.137359747679245 0.0963139010660377 -0.316997064283019 0.022801332645283 -0.0491976799056604 -0.0977466063226415 -0.140911848889623 -0.163564322 -0.404321784150943 -0.190976720811321 -0.433349702075472 -0.337428188679245 -0.801257861698113 -0.92307692 -0.418735000377359 -0.502506878113208 -0.979627190566038 -0.479875245660377 -0.41344458754717 -0.685474353962264 -0.461907025849057 -0.696603773584906 -0.76 -0.377023128301887 -0.922755616226415 -0.980786464528302 -0.492611667924528 -0.319474609056604 -0.453597213018868 -0.565892490754717 -0.93548387 -0.825634351886792 -0.187450247737736 -0.874785848301887 -0.971169189433962 0.408554099622641 -0.285599666826415 -0.596216743962264 0.193028584981132 -0.363579661132075 -0.686853361509434 0.542670381509434 -0.160914224732075 -0.496216834792453 0.319892978867925
"LAYING" 2 2 6 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.199788468904167 -0.248458834006667 -0.509754238125 0.752536639375 0.646834879583333 -0.959014441458333 -0.308245417 -0.563200740208333 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.98587216875 0.148400431375 0.00766428163541667 -0.01847660675 -0.111800824583333 0.144882846104167 -0.988275232916667 0.326928163091667 -0.2496791615 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.993235849166667 0.0414978802020833 -0.0966764838083333 0.188903979395833 -0.244819853270833 0.188903979395833 -0.244819853270833 -0.0847222939916667 -0.05547647891875 0.116905481914583 -0.141203233875 -0.0504555534089583 0.00630606409166667 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.973246482083333 -0.829166666875 -0.751602564291667 -0.146482792591667 -0.999425172708333 -0.999718574583333 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.987250255833333 -0.249166666666667 -0.149166666666667 0.159808328563875 -0.999685072708333 -0.999754638125 -0.9864311425 -0.983321635416667 -0.9626718875 -0.988860685833333 -0.9381720428125 -0.987068965416667 0.10261131938125 -0.997793372916667 -0.999533052708333 -0.879616277916667 -0.381994355769375 -0.6331577990625 -0.969635773541667 -0.553611930854167 -0.816016455645833 -0.71379855125 -0.14091960795 -0.432302279375 -0.920797804583333
"SITTING" 2 2 4 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.268153719565217 0.256453039862826 0.940477273043478 -0.105630024498783 0.19872676876087 -0.979988760869565 -0.486664063652174 0.538687011956522 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.988055854130435 0.0380489234586957 0.0525305806521739 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.985742027826087 0.182080612630435 -0.505954266021739 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.989709023043478 0.192636236913043 -0.253133782695652 0.165177400471739 -0.1117612925 0.165177400471739 -0.1117612925 -0.0316423665565217 -0.0502937812608696 0.0884338520847826 -0.0465395786717391 -0.0574888258152174 -0.184917620573913 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.98736209 -0.882608695434783 -0.936454849565217 0.08519282071 -0.995906652608696 -0.999430545217391 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.989459107391304 -0.297391304347826 -0.164347826086957 0.305546818084783 -0.999687611304348 -0.999700042608696 -0.982621389565217 -0.982100923695652 -0.959814822391304 -0.986808501521739 -0.949509115869565 -0.919040479782609 0.130523120891304 -0.998201445217391 -0.99960263673913 -0.819453163695652 -0.332265960427174 -0.612535121326087 -0.961771542391304 -0.568363489347826 -0.837046969130435 -0.652096107826087 -0.1330686249 -0.444892836913043 -0.90145344673913
"STANDING" 2 2 5 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 0.0665274675074074 0.384642653314815 0.896928566851852 -0.370062696851852 0.129747161222222 -0.986685818703704 0.334620620814815 0.611669641011111 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.981085715555556 0.172841820592593 0.181180902851852 -0.0238623875712963 -0.0820396577592593 0.0878351695481481 -0.972998629814815 0.0672573718277778 -0.503353001648148 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.979324000740741 0.0278048061185185 -0.360909779981481 0.18445040162963 -0.201434103137037 0.18445040162963 -0.201434103137037 -0.0477483902111111 -0.0959065275 0.133825672425926 -0.0598797868240741 -0.0148559994787037 -0.212554993685185 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.929629629259259 -0.944444444574074 0.108519182924074 -0.995271272407407 -0.999412478888889 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.983007923703704 -0.291111111111111 -0.206666666666667 0.331449281481482 -0.999396006481482 -0.999588437037037 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.97498812462963 -0.893667860555556 -0.887611749074074 -0.107416045074074 -0.998229543518519 -0.998996800185185 -0.800409075185185 -0.333412170333333 -0.592152108314815 -0.927868139814815 -0.447901012981481 -0.737165942018518 -0.605572782777778 -0.327704271401852 -0.644029219462963 -0.825013644851852
"WALKING" 2 2 1 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0251069135101695 0.368582476440678 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.241298144779661 -0.0658090309491525 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.277530462620339 0.0624083924322034 0.224548708762712 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.561550255762712 0.105900774240678 -0.0801253883711864 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 0.0648991809491525 -0.233432734305085 -0.112274999164407 0.176396531827119 -0.112274999164407 0.176396531827119 -0.485743906118644 0.376830517220339 0.0428938015644068 -0.0111708590067797 -0.247231198601695 0.23773453523678 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.757062144745763 -0.747066491525424 -0.14579548970339 -0.831927511355932 -0.950590559152542 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.31431306340678 -0.226440677966102 -0.221016949152542 -0.0727101584479661 -0.861085185423729 -0.953383621355932 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.739748498474576 -0.625949738813559 0.00727967988474576 -0.873070090508475 -0.894181102542373 0.408264795762712 -0.497408531355932 -0.764651062881356 0.396208539661017 -0.00254912604067796 -0.368754340508475 0.504065863220339 -0.571976081694915 -0.816468687627119 0.363422317118644
